      Plot replica #,               up1 a,               up1 b,               up1 c,               dp1 a,               dp1 b,               dp1 c,               sp1 a,               sp1 b,               sp1 c,               um1 a,               um1 b,               um1 c,               dm1 a,               dm1 b,               dm1 c,               sm1 a,               sm1 b,               sm1 c,                GT a,                GT b,                GT c,                G2 a,                G2 b,                G2 c,
                  11,            0.883021,            3.201846,           -3.270524,            8.133451,          -10.921809,            6.605902,            4.735662,            4.605061,           -9.134900,           -5.743596,            2.624761,           13.488124,           -7.554536,            1.027024,           12.202458,            2.622764,           -3.274817,           -1.886215,            3.232603,           -7.969021,            0.278157,           -0.421307,           -0.774272,           -1.710617,
                  12,           -0.154279,            5.015487,           -3.381610,            7.442758,           -9.630032,            6.391360,           10.005591,            0.506408,          -17.983082,           -8.013809,            4.832245,           14.597781,          -15.642227,            6.356317,           20.729762,            0.943021,            0.231332,           -5.233647,            3.738435,           -7.806357,           -2.183572,           -0.412685,           -1.192127,           -0.945597,
                  13,            0.024361,            4.640170,           -4.282877,            7.555002,           -9.788917,            5.337670,            4.398992,            6.433004,          -11.351088,           -7.572766,            4.711689,           15.912949,          -11.335777,            7.399895,           13.119288,           -0.073771,           -0.671561,            2.417869,            4.087138,           -8.786470,           -3.961249,            0.088650,           -1.640215,           -1.212357,
                  14,           -1.387561,           10.029889,           -4.533197,            6.079969,           -4.300950,            5.097985,            6.953481,            3.490057,          -10.471436,           -6.915464,            4.858326,           11.729475,           -9.379550,           -0.202590,           15.220489,            2.700800,           -1.140250,           -8.912874,            1.853293,           -3.681155,           -0.308395,            0.270920,           -3.462437,           -1.002509,
                  15,           -0.117173,            8.501856,            1.970183,            7.353416,           -5.906035,           11.719803,           16.949877,          -12.367857,           -7.859435,           -8.054055,            5.796924,           14.947716,          -11.280758,            6.794657,           14.529807,            8.255606,          -14.525081,           -1.130643,            0.661209,           -1.055077,            9.998903,           -1.046068,           -1.533383,           -3.993388,
                  16,           -1.106711,            1.915645,           -0.123057,            6.763321,          -12.819607,            9.088449,           13.503750,          -11.733830,           -9.148129,           -6.062881,            4.342436,           10.810129,           -7.779200,           -2.776646,           19.971418,           -2.018989,            3.908034,           -0.124178,            4.364357,          -12.283517,            0.054116,           -0.388103,            1.168169,           -2.917003,
                  17,            1.168503,            7.926911,           -5.508365,            8.589235,           -6.466463,            4.306389,            7.917027,            4.660190,           -9.529490,           -6.210064,            6.599832,            8.488914,           -3.610383,            1.378268,            3.771432,           -0.847183,           -1.515597,            4.270622,            1.338481,           -1.540303,            3.723922,           -0.955181,           -2.601989,           -0.608582,
                  18,           -0.846359,            4.749988,            3.919713,            6.555675,           -9.335395,           13.300373,           14.200450,          -11.602244,           -6.137506,           -8.766768,            6.919328,           15.190914,          -14.726968,           11.714450,           15.621564,            3.985572,           -8.555760,            4.158230,            1.366499,           -6.104717,            9.420099,           -0.592352,            0.009892,           -4.816109,
                  19,           -1.469121,            5.868076,           -4.612617,            5.894547,           -8.411222,            5.319259,           10.964996,           -6.272906,          -12.929971,           -7.495248,            4.751010,           14.932293,          -12.635166,            7.737642,           16.555395,            2.659627,           -0.606275,           -7.132878,            5.213978,          -10.988608,           -7.162377,            0.289122,           -1.196225,           -1.107070,
                  20,            2.975761,            1.716069,           -3.710432,           10.013456,          -12.018404,            6.132428,            9.425178,            4.279007,          -20.413834,           -8.724855,            8.080956,           11.412371,          -11.511552,            2.243431,           16.553016,            3.429216,           -1.301023,           -9.908700,            3.961358,           -6.446485,           -0.421160,           -1.461702,           -0.385149,           -0.736782,
                  21,            5.636640,            3.158528,           -9.249191,           13.025399,          -11.189761,            0.667284,            9.449796,            6.285142,          -15.377956,          -10.783510,            9.742488,           16.536042,          -13.051679,            3.113646,           22.554841,            2.802257,           -3.582873,           -1.622215,            3.436541,           -2.612325,            1.765691,           -2.784459,           -0.915026,            1.277700,
                  22,           -0.826854,           14.277292,           -9.741332,            6.750650,           -0.018312,           -0.470658,           16.584446,          -12.249850,           -5.401345,          -11.130217,           11.054519,           15.737215,          -11.978852,            5.953448,           15.016160,            6.156296,           -8.520406,           -4.739923,            2.739980,           -1.274906,           -2.404889,           -0.697362,           -4.011177,            0.728750,
                  23,           -1.701881,            9.435064,           -1.451445,            5.996411,           -5.095781,            7.890700,            9.606484,           -1.061018,          -10.000048,          -10.284301,           10.281793,           14.752504,          -12.693496,            9.628446,           14.191265,            5.471207,           -4.412992,          -12.080086,            1.723996,           -4.156242,            2.296963,            0.173429,           -2.814169,           -2.323644,
                  24,           -2.668359,            8.046005,           -3.753270,            4.813046,           -6.181419,            5.688643,            4.317322,            5.414996,          -13.383383,           -7.347484,            4.891796,           13.316224,           -9.401951,           -2.200970,           20.772154,            8.506027,          -14.849395,           -1.714226,            3.406319,           -8.500425,           -5.607268,            1.131230,           -2.906016,           -1.159910,
                  25,            2.424338,            6.600692,           -6.245772,           10.171146,           -8.336565,            3.629325,            9.403166,           -0.139042,           -6.290941,           -5.591881,            2.467778,           13.090555,           -8.985717,            1.870947,           13.382734,            6.009741,           -9.362473,           -2.271865,            2.122914,           -3.106454,            4.766738,           -1.674783,           -1.507792,           -0.619405,
                  26,            1.246118,            6.078289,           -3.278064,            8.692525,           -8.243506,            6.387186,            7.763777,           -3.719834,            1.348725,           -6.038584,            4.053749,           10.104248,          -11.636049,            0.869585,           21.913634,            5.938485,           -5.326595,          -11.759331,            1.592054,           -3.713889,            5.947676,           -0.923837,           -1.221503,           -2.435561,
                  27,            0.809379,            5.954063,           -5.863182,            8.375718,           -8.069466,            2.968350,            5.344797,            2.953763,           -5.869797,           -9.419331,            9.158774,           12.008940,          -17.644018,           14.986731,           14.573982,            6.823101,           -4.441957,          -17.440329,            3.675849,           -6.318022,           -3.077481,           -0.281229,           -2.028904,           -0.874194,
                  28,           -1.504580,            6.751064,           -1.225164,            5.869395,           -7.485764,            8.509017,           11.896968,           -7.581936,           -9.762789,           -9.406775,            8.298557,           14.186236,          -17.799193,           14.048167,           18.301748,            1.562588,           -0.043517,           -5.158626,            3.844472,           -8.000427,           -2.360364,            0.276685,           -1.531026,           -2.769421,
                  29,           -1.069237,            4.310817,           -1.880893,            6.594547,          -10.482140,            7.994967,            8.664792,           -6.041900,           -5.444250,           -3.905935,            4.815692,            4.264595,           -7.330119,           11.318369,            0.271505,            8.054609,           -8.161955,          -10.632521,            4.108137,          -10.833700,           -1.384152,            0.092212,           -0.316649,           -2.696056,
                  30,           -0.523209,            6.685396,           -1.725606,            6.725712,           -7.264545,            7.882914,            9.027304,            0.569498,           -9.825371,           -7.363483,            8.865168,            8.360299,           -5.610235,            0.966275,            8.819376,            3.802903,           -3.439168,           -4.581770,            1.599480,           -4.829471,            4.257818,           -0.355755,           -1.769220,           -2.094140,
                  31,           -1.364638,            9.030043,           -3.606995,            6.087013,           -5.130256,            5.749472,           17.570372,          -13.455225,          -14.043437,           -7.489749,            6.363930,           12.153445,           -6.249605,           -3.619916,           15.860839,            3.818777,          -13.823252,           12.396166,            3.988350,           -6.092172,           -3.197616,           -0.361256,           -1.929562,           -1.240256,
                  32,            2.104360,            9.064152,           -8.020959,            9.271271,           -4.660861,            1.405904,            7.902898,            3.260743,           -5.592607,           -6.676462,            5.683007,           11.693744,           -7.710551,            8.063787,            3.730379,           -2.934930,            3.700969,            2.163505,            1.598259,           -0.216485,            2.627558,           -1.245573,           -3.113049,            0.114229,
                  33,           -1.864440,            9.000589,           -1.784489,            5.313676,           -4.750420,            7.689114,            5.466391,            5.031957,           -8.496995,           -7.098624,            4.899953,           12.856837,          -11.336797,            0.943827,           21.142561,            8.434783,          -12.016145,          -15.776350,            1.724861,           -4.263666,            0.157560,            0.800354,           -3.400471,           -2.439298,
                  34,           -1.249091,            6.294267,            0.777855,            6.580090,           -8.568760,           10.336892,           10.024890,           -3.524238,           -7.414046,           -6.095729,            3.595096,           11.471319,           -6.389702,           -3.058250,           11.492015,            3.881488,            1.991199,          -19.617815,            2.357552,           -6.296775,            2.979446,            0.078064,           -1.401684,           -3.633383,
