      Plot replica #,            Solution,           chi2/Npts,               up1 a,               up1 b,               up1 c,               dp1 a,               dp1 b,               dp1 c,               um1 a,               um1 b,               um1 c,               dm1 a,               dm1 b,               dm1 c,                GT a,                GT b,                GT c,                G2 a,                G2 b,                G2 c,               QTu a,               QTu b,               QTu c,               QTd a,               QTd b,               QTd c,
                  41,                 N/A,            1.908632,           -3.257702,            6.448964,           -5.698596,            5.831588,           -9.099445,            2.455762,           -9.290547,           10.150681,           13.341043,           -5.093105,            1.983312,            6.859657,            2.025294,          -12.649294,           -1.068232,           -1.201716,            3.862038,           -1.562726,           -4.058191,           16.463233,            4.981159,            7.320359,          -22.796991,           -4.947482,
                  42,                 N/A,            2.208890,           -1.023692,            0.286344,           -1.132180,            6.710521,           -9.911980,            3.832489,           -4.096044,            2.140661,           11.148212,          -10.488048,           20.901918,           -3.693329,            3.830092,           -1.728580,           -6.408291,           -0.212553,            1.710162,           -3.385672,           -9.998781,            2.836705,           -5.216545,           11.145353,           -4.319726,            5.507577,
                  43,                 N/A,            2.162858,           -4.217985,           12.086272,          -10.522853,            0.376172,            1.007212,            1.129791,           -3.798773,            1.806554,           10.372499,           -6.804055,            9.731401,            4.728488,            2.529688,          -12.326720,            3.140326,           -3.420866,           -1.242717,            3.398520,           -3.091755,            3.697250,           -5.496236,            8.268070,           -6.472106,            3.033619,
                  44,                 N/A,            2.116544,           -6.568060,           11.113329,           -2.501223,            5.879012,          -10.051910,            4.792102,           -5.700129,            3.183404,           12.878331,           -3.830645,            5.789046,           -0.135886,            5.249743,          -13.514063,           -2.610512,           -3.508097,            4.268571,           -1.949868,           -0.795258,           -0.773504,           -8.008409,            6.811796,           -6.474408,            7.394861,
                  45,                 N/A,            2.111922,           -3.710706,            1.885016,            0.565368,            6.492664,          -14.561530,            6.810122,           -4.766046,            6.282292,            7.582071,           -8.208033,            5.992733,            9.533676,            2.299672,           -7.251919,            0.620991,           -2.333138,            3.754678,           -2.461771,           -0.321459,            9.076410,           -5.798306,            4.048947,          -12.489477,            4.995348,
                  46,                 N/A,            2.157488,           -5.172972,           12.514402,           -7.476006,            2.521311,           -2.830220,            2.322203,           -7.404474,            6.839077,           13.170812,           -7.058896,            4.711257,            9.378432,            1.432047,           -4.713053,           -3.043243,           -0.361612,           -5.202797,            0.868359,           -7.370824,            1.786291,           -7.225285,           10.091218,           -0.638970,            5.667845,
                  47,                 N/A,            2.523769,           -9.414360,           14.691316,            1.268154,            7.153094,           -7.147265,            0.770338,           -6.923890,            3.566506,           15.371009,           -9.571696,            7.730798,           10.519231,            1.524664,            5.354059,           -6.561625,           -0.120897,           -1.099913,           -0.467871,           -1.715430,            7.193311,           -2.268104,            4.238528,           -9.838562,            0.561923,
                  48,                 N/A,            1.718663,           -1.734782,            3.195813,           -5.845858,            2.534460,           -5.091978,            3.310774,           -8.791943,            8.568760,           12.998831,           -5.428498,            4.144898,            4.364567,            3.322156,           -3.661076,           -3.987529,           -1.652382,            1.824098,           -0.561619,           -2.313043,            9.401932,          -11.724944,            5.141362,          -12.162502,           11.212549,
                  49,                 N/A,            1.928435,            2.802333,           -4.733832,           -3.429437,            7.361707,          -13.880697,            6.415443,           -4.790641,            1.218093,           13.395394,           -7.317725,           11.510195,            0.280865,            1.859317,           -3.647469,           -0.510710,           -0.624498,            2.402433,           -4.457972,           -5.338736,           12.538914,           -5.491856,            6.006557,          -13.286298,            7.204797,
                  50,                 N/A,            2.032078,           -3.173867,           12.771043,          -13.006361,            2.543194,            0.872445,           -3.721597,           -5.433843,            7.490708,            7.067802,          -10.666777,            9.164636,           11.524749,            2.108364,           -8.865473,           -5.672992,           -3.965496,            1.044103,            4.585681,            0.304230,            5.652070,           -6.970027,            6.166835,          -12.314202,            3.810864,
                  51,                 N/A,            2.730634,           -0.804739,            8.816254,           -8.470180,           10.122479,          -22.770066,           11.968183,           -9.273104,            0.370757,           23.527316,           -3.156681,           17.039714,          -12.803660,            1.305800,            5.077171,            7.040460,           -1.422739,           -5.074858,           -6.634037,           -5.138149,            5.783958,           -0.642189,            6.195524,           -0.690416,            6.048002,
                  52,                 N/A,            2.242323,           -8.801302,           13.331579,           -1.245756,            0.993086,           -3.871052,            6.562446,           -6.052962,            3.691673,           12.799562,           -7.290513,            2.990718,            9.451007,            1.779559,           -9.511722,           -3.059278,           -2.838566,            2.694253,            1.179582,           -1.871763,            3.571029,          -16.581962,            8.815016,          -10.989549,           12.022830,
                  53,                 N/A,            2.490005,            2.554092,           -2.339322,           -8.996304,           11.794447,          -17.907802,           -0.809039,          -15.724449,           17.997853,           16.772871,           -6.408815,           12.025706,           -5.124213,           -0.484456,            2.882737,            7.905937,           -3.908411,           -1.303980,           -3.655359,           -0.951995,            6.492337,          -12.605371,            4.603208,           -3.820182,           15.668696,
                  54,                 N/A,            2.490528,           -2.350500,            5.636159,           -4.558028,            6.006268,          -13.183009,            8.435947,          -14.340314,            7.327634,           27.888218,           -9.399608,           -2.905245,           12.141366,            5.008179,           -0.316476,            1.414560,           -2.737140,           -0.410785,           -3.683457,           -2.621883,            7.848308,           -8.977043,            5.915136,           -8.023874,           11.073620,
                  55,                 N/A,            2.331745,           -5.648856,           13.400347,           -8.835490,            2.617686,           -4.201804,            2.382155,           -5.455481,            0.106194,           15.760764,           -4.166037,            3.191916,            5.451632,            4.485749,           -7.918654,            5.660223,           -3.016714,           -9.444176,           -4.841527,           -2.899152,           12.896439,          -10.108753,            7.282879,           -6.246067,           15.272225,
                  56,                 N/A,            2.342807,           -5.304866,            2.618905,            2.043576,            7.619370,          -13.090150,            3.249518,           -8.737614,            8.228815,           13.045945,          -12.195854,           -3.939465,           27.405636,            0.800575,           -4.625588,           -0.975710,            3.455165,           -8.666457,           -0.019110,           -9.067747,            8.382242,            3.277192,            6.707319,            0.950861,           -6.134735,
                  57,                 N/A,            2.204567,           -5.711965,           10.224411,           -7.317103,            7.862806,          -14.755431,            1.718423,           -3.001771,            6.983674,            3.495137,           -6.695477,            3.526636,            4.083076,            0.994525,           -4.612931,           -0.008784,            3.363285,           -5.362608,           -5.217614,           -8.787705,            6.253330,            0.133569,            6.457701,           -2.004094,            5.082234,
                  58,                 N/A,            1.800775,           -3.687953,            1.940761,            2.668178,            6.785636,          -16.536386,           10.058179,           -6.164908,            5.961463,           10.138180,           -5.658362,           -0.333086,           11.982961,            2.419198,           -5.692617,            2.187365,           -3.866878,           -0.778948,            0.348100,            2.174756,            5.934819,            0.185124,            3.388419,           -5.164714,           -4.852043,
                  59,                 N/A,            2.065960,           -5.363118,           15.189867,          -10.408815,            3.377204,           -0.397765,           -2.023057,           -2.613599,            6.989322,            2.843858,          -13.768953,           15.320191,           11.934375,            0.892502,           -2.433103,           -2.263883,           -1.814539,            0.460320,           -0.744048,           -4.673969,           10.781091,           -1.277903,            8.600714,          -16.242677,            2.972238,
                  60,                 N/A,            2.152992,           -3.584155,            7.369887,           -6.930413,            0.197857,            0.196200,            1.210337,           -2.762011,            3.548108,            6.090714,           -9.602768,            6.192460,           14.368618,            4.262177,          -10.911873,           -5.719620,           -1.113676,           -2.620459,           -4.365627,           -4.600221,            8.167437,           -9.400763,            8.445307,           -9.257134,           12.903737,
                  61,                 N/A,            2.076391,           -0.963056,            9.294276,          -12.943157,           11.200424,          -10.391190,           -7.467589,           -2.563113,            1.826003,            8.625450,           -5.848318,            0.598460,            9.762140,            5.349185,          -11.590349,            1.369836,           -2.438574,           -5.320891,            2.775672,           -2.048934,           11.842293,          -17.613596,            2.961304,           -6.852565,           18.017961,
                  62,                 N/A,            2.202952,           -2.810933,            5.080645,           -4.426657,            2.929545,           -8.818727,            7.728231,          -10.237700,            4.944871,           20.791725,           -0.822775,            0.279696,           -0.865656,           -0.352519,           -9.017672,            7.808153,           -0.959542,            2.564948,           -3.396032,           -7.296008,           -1.547559,           -4.388374,            9.714856,           -2.092749,            5.791739,
                  63,                 N/A,            1.965647,           -3.344135,           13.871382,          -11.887037,            2.325980,           -1.335591,            2.362207,            0.294981,           -8.536277,           14.796780,          -10.808421,           -0.770877,           20.461871,            4.853999,          -13.302701,           -2.343720,           -2.799726,            2.916830,           -2.231512,            0.243162,            0.264621,           -3.980790,            4.337494,           -7.676438,            6.707153,
                  64,                 N/A,            2.089625,            1.300594,            3.433728,          -13.204260,            6.361820,           -8.666166,           -1.196245,           -2.568243,           -2.459747,           13.071276,           -7.550235,            1.506449,           11.471593,            4.482577,          -10.535076,            6.290356,           -4.300325,           -3.597662,            1.096219,           -5.852660,           10.655012,           -9.204865,            8.912429,           -6.068303,           10.043650,
                  65,                 N/A,            2.126996,           -1.047156,            3.066814,           -5.033296,            4.173602,           -7.612087,            5.355541,           -6.033073,            1.389044,           14.490734,           -3.144744,            8.654790,           -3.807235,            4.816729,          -14.941655,            0.336160,            0.227582,           -5.048240,           -6.893249,           -7.958119,            4.148984,           -4.477096,            8.525695,            0.253491,            9.842802,
                  66,                 N/A,            2.216701,           -6.082991,           10.085580,           -2.086568,            4.800733,           -9.763069,            5.453210,          -11.098218,            9.456649,           18.033745,            2.043571,           -7.266173,            3.672983,            3.365524,            1.358697,           -8.070120,           -1.843699,           -2.241738,           -4.034745,           -3.865364,            6.735168,           -5.318078,            8.858839,           -8.009846,            6.331852,
                  67,                 N/A,            1.958525,           -0.936069,           -0.361429,           -1.439207,            3.643725,           -8.335246,            7.088902,           -3.046027,           -1.037004,           12.760889,           -1.371520,           -8.355306,            9.049985,           -2.590513,           -4.073586,            6.055317,            2.908592,           -2.852912,            2.065430,           -5.407328,           -3.509156,          -12.475759,            3.077914,            6.954416,            7.965079,
                  68,                 N/A,            1.758627,           -2.821325,           -1.386762,            0.249365,            6.509133,          -20.025252,           11.258750,           -4.636768,            7.302201,            5.436833,          -11.507353,           -8.116019,           29.997663,            1.743541,           -1.333081,           -9.897240,            2.728328,            4.134073,           -1.354049,           -8.293304,            6.955138,           -8.320699,            7.328626,           -9.589668,            5.176722,
                  69,                 N/A,            1.848405,           -5.305421,            6.479593,           -3.063062,            0.283703,            1.566695,            0.622316,           -6.511349,            4.397542,           13.035412,           -6.394091,            2.334326,           10.077718,           -1.257015,           -3.856160,           -2.694861,            1.094408,           -3.122431,           -3.811121,           -4.539050,            1.527822,           -7.991622,            7.416231,           -3.196120,            9.679574,
                  70,                 N/A,            2.202164,            0.009587,           -3.799254,           -1.715896,            0.999370,           -9.093434,           10.300318,          -12.251617,            8.484572,           20.462906,           -2.588090,            0.635969,            1.359944,           -0.577438,           -9.509560,            2.302701,            4.692357,           -4.247853,           -0.271980,           -4.455603,            8.902348,           -4.949104,            0.466418,           -2.371427,            1.707870,
                  71,                 N/A,            2.505419,           -5.035944,           10.672324,           -3.412730,            3.014100,           -0.000717,            1.224748,           -8.553809,            3.400965,           22.276795,          -13.376300,           18.866220,           -5.069103,            8.063593,          -12.784772,           -4.623609,           -1.313727,            1.070671,           -3.469478,           -8.337610,           16.245054,            1.298202,           10.534155,          -20.065124,            1.781194,
                  72,                 N/A,            2.178500,           -5.093731,           12.896048,           -7.034323,            2.318994,           -3.280799,            4.849137,           -5.550406,            1.846725,           15.156303,           -5.295821,            2.156154,            9.404552,            3.522959,          -14.750232,           -2.307934,            0.878583,           -3.103925,           -1.239387,           -3.155736,           12.323935,           -2.885243,            4.229457,          -12.810137,            3.185849,
                  73,                 N/A,            2.053223,           -2.465520,            3.331305,           -4.337546,            2.354184,           -4.222213,            3.129392,           -4.443156,            1.346843,           12.080732,            0.346096,           -7.151517,            4.733461,            1.786512,           -9.574593,            3.281489,            1.042966,           -3.392768,           -5.763989,           -8.832071,           11.482087,            5.517535,            9.077706,           -9.052354,           -1.112260,
                  74,                 N/A,            2.151804,           -2.933567,            7.744449,           -5.643407,            2.233333,           -0.385118,            1.713945,           -9.363356,            9.108824,           15.685617,           -7.061074,            3.734183,            5.877398,           -2.119665,            7.961486,            5.856440,           -1.304985,           -0.918069,           -3.257477,           -7.617567,            3.287446,          -12.323125,           10.297781,           -5.132097,           14.903403,
                  75,                 N/A,            3.459842,           -0.193001,            7.208047,           -1.163285,            3.506362,            1.257150,            7.203213,            0.732359,           -2.287767,            8.098999,           -6.390553,            5.325249,           -7.138533,            2.891120,           -9.273765,            5.099143,           -0.431658,            2.889276,           -3.089593,            0.302044,           12.212881,           -1.783201,            0.327125,          -17.230780,            1.897297,
                  76,                 N/A,            2.324514,           -1.571684,           -0.450420,           -2.336538,            5.175979,          -14.086199,            6.903268,           -4.367569,           -2.645273,           15.671729,           -1.816901,            4.253992,           -0.264635,            5.588226,          -13.903238,            4.096912,           -0.125437,           -4.862905,           -8.037430,           -6.864540,           13.470669,            1.326972,            7.021103,           -6.265276,            4.492323,
