      Plot replica #,               up1 a,               up1 b,               up1 c,               dp1 a,               dp1 b,               dp1 c,               sp1 a,               sp1 b,               sp1 c,               um1 a,               um1 b,               um1 c,               dm1 a,               dm1 b,               dm1 c,               sm1 a,               sm1 b,               sm1 c,                GT b,                G2 a,                G2 b,                G2 c,               QTu b,               QTd b,               QTs b,
                 133,           -5.385945,            5.409883,           -1.350374,            8.991392,           -8.581117,           -5.076841,            5.570384,           -5.008318,           -2.388427,           -5.318455,            3.793647,           11.015600,           -6.930425,            7.908343,            3.074985,            2.625564,           -2.140461,           -3.508650,           -4.738031,            0.052462,            1.823370,           -5.629447,           -1.891776,            6.562296,            1.666723,
                 134,           -3.421591,            2.941941,           -0.294614,            7.473117,           -7.951368,           -1.241251,            4.595049,           -0.880122,           -5.404217,          -10.906412,           12.469419,           12.639162,          -11.465885,            9.850940,           10.576731,           19.998433,          -22.424707,           -4.634438,            2.596772,            1.728214,           -1.106581,           -4.265950,           -1.911188,            4.865877,           -4.332568,
                 135,           -4.350458,            4.307987,           -2.654292,           10.786789,          -12.352365,           10.417800,            5.303203,           -0.817587,          -10.334921,           -9.491026,           -0.348879,           23.384816,           -4.959320,           10.987179,           -7.510713,            9.357709,          -15.035389,          -11.103813,          -10.613292,            0.384679,           -4.234183,           -0.731113,           -0.426763,           -3.140980,           -4.913646,
                 136,           -3.962888,            3.966089,            0.105160,           11.113022,          -11.027315,           -3.106885,            5.435368,           -4.019582,           -2.254761,           -3.641871,            1.965496,            9.457457,           -4.260560,            2.657049,            3.852787,           12.154216,           -1.182882,          -24.315165,           -1.128802,            1.091169,           -3.615206,           -2.514971,           -3.592890,            5.180170,           -1.311298,
                 137,           -6.909476,            6.823164,            2.446525,           11.085063,          -11.344455,            1.236375,           12.644876,          -10.925197,          -15.064825,           -5.854336,            4.574511,           11.312713,            3.966056,           -9.471569,           -1.259729,           16.901162,          -18.399398,          -16.790594,            1.087797,            2.519658,           -3.396313,           -5.153059,           -5.811885,            1.828532,           10.741719,
                 138,           -4.018429,            5.929328,           -6.473742,            8.930148,          -11.461124,           13.748098,            6.495598,           -5.872453,           -7.337894,           -7.764765,            4.579182,           14.991242,          -10.805918,           19.498433,           -5.923296,            0.263917,           -3.943886,           -2.968795,           -2.860528,            1.859972,           -4.502671,           -3.415458,           -2.354858,           -3.641648,            3.437272,
                 139,           -4.245720,            4.459159,            0.006194,           10.571231,          -10.686216,           -3.982153,           14.354502,          -13.155058,           -6.646059,           -5.805909,            4.408629,           11.813810,           -6.987822,            8.101826,            3.389988,            4.609383,            0.393090,           -9.767847,           -4.097752,            0.078618,           -1.088925,           -3.648741,           -3.822985,            7.034775,            3.594780,
                 140,           -4.524158,            4.159125,            0.409405,            7.838615,           -7.839455,           -3.490861,            7.692559,           -5.226046,           -6.466252,           -2.710231,            2.800455,            6.681840,            2.536193,           -7.760404,            0.545723,           10.222829,           -4.236227,          -17.206325,           -1.157995,            1.605310,           -0.904800,           -6.498069,           -2.440411,            6.223384,           -0.981512,
                 141,           -3.571745,            3.679905,           -1.206938,            6.377747,           -6.137858,           -5.405149,           10.034953,           -9.696910,           -3.716592,           -3.575167,            3.361262,            7.808755,           -3.753003,            5.474715,           -1.061115,            6.816438,           -0.817186,          -14.081895,           -2.685472,            0.962347,            3.442308,           -8.643227,           -2.148117,            7.494346,            3.321728,
                 142,           -6.805302,            7.472746,           -3.248727,           11.102383,          -10.671704,           -7.182457,            7.854860,           -8.903808,            1.559338,           -8.915171,            8.975373,           12.240194,           -0.803247,           -2.806145,            2.741278,            3.101167,            8.720481,          -18.378127,           -9.375342,           -2.830373,            4.866944,           -2.373311,           -2.016753,            8.637391,            3.893686,
